iter	Passed	Remaining
0	140	140426
1	143	71630
2	146	48703
3	149	37309
4	152	30431
5	154	25652
6	156	22240
7	158	19674
8	160	17680
9	162	16076
10	164	14771
11	166	13677
12	167	12750
13	169	11959
14	171	11265
15	173	10665
16	175	10132
17	176	9654
18	178	9235
19	180	8843
20	182	8487
21	183	8161
22	185	7861
23	186	7588
24	188	7337
25	189	7112
26	191	6898
27	193	6701
28	194	6514
29	195	6333
30	197	6160
31	198	6000
32	199	5851
33	200	5710
34	202	5573
35	203	5442
36	204	5317
37	205	5199
38	206	5088
39	207	4984
40	208	4884
41	210	4794
42	211	4703
43	212	4612
44	213	4526
45	214	4442
46	215	4361
47	216	4284
48	216	4208
49	217	4136
50	218	4067
51	219	4002
52	220	3937
53	221	3876
54	222	3816
55	222	3758
56	223	3702
57	224	3649
58	225	3597
59	226	3546
60	227	3497
61	228	3449
62	228	3404
63	229	3360
64	230	3316
65	231	3274
66	232	3233
67	232	3189
68	233	3152
69	234	3114
70	235	3078
71	236	3043
72	237	3009
73	237	2976
74	238	2943
75	239	2912
76	240	2881
77	241	2851
78	242	2821
79	242	2793
80	243	2764
81	244	2737
82	245	2710
83	246	2685
84	246	2656
85	247	2631
86	248	2605
87	249	2581
88	249	2558
89	250	2535
90	251	2513
91	252	2491
92	253	2471
93	254	2450
94	255	2430
95	256	2410
96	256	2391
97	257	2371
98	258	2352
99	259	2334
100	260	2316
101	260	2295
102	261	2277
103	262	2261
104	263	2244
105	264	2228
106	265	2212
107	265	2196
108	266	2181
109	267	2165
110	268	2150
111	269	2135
112	270	2120
113	270	2105
114	271	2092
115	272	2077
116	273	2063
117	274	2050
118	274	2035
119	275	2022
120	276	2009
121	277	1996
122	278	1982
123	278	1969
124	279	1957
125	280	1945
126	281	1934
127	281	1920
128	282	1909
129	283	1898
130	284	1887
131	285	1876
132	286	1865
133	287	1854
134	287	1844
135	288	1833
136	289	1823
137	290	1812
138	291	1802
139	291	1792
140	292	1782
141	293	1773
142	294	1763
143	295	1754
144	296	1745
145	296	1736
146	297	1727
147	298	1719
148	299	1710
149	300	1701
150	301	1693
151	302	1685
152	302	1676
153	303	1668
154	304	1660
155	305	1652
156	306	1644
157	307	1636
158	307	1628
159	308	1620
160	309	1613
161	310	1605
162	311	1598
163	312	1591
164	313	1584
165	313	1577
166	314	1570
167	315	1563
168	316	1556
169	317	1550
170	318	1544
171	319	1538
172	320	1531
173	321	1526
174	322	1520
175	323	1516
176	325	1512
177	326	1507
178	327	1503
179	329	1500
180	329	1492
181	331	1489
182	332	1485
183	333	1480
184	334	1475
185	335	1470
186	336	1464
187	338	1459
188	339	1454
189	340	1449
190	341	1444
191	342	1439
192	343	1434
193	344	1429
194	345	1424
195	345	1419
196	347	1414
197	348	1410
198	349	1405
199	350	1401
200	352	1402
201	353	1398
202	355	1394
203	356	1389
204	357	1384
205	358	1380
206	359	1375
207	359	1370
208	360	1365
209	361	1360
210	362	1355
211	363	1350
212	364	1345
213	365	1340
214	365	1336
215	366	1331
216	367	1327
217	368	1323
218	370	1319
219	371	1315
220	372	1312
221	373	1307
222	374	1303
223	375	1299
224	375	1294
225	376	1290
226	377	1286
227	378	1282
228	379	1278
229	380	1274
230	381	1271
231	382	1267
232	384	1264
233	385	1261
234	386	1258
235	387	1255
236	388	1251
237	390	1248
238	391	1245
239	392	1242
240	393	1238
241	394	1235
242	395	1231
243	396	1227
244	397	1224
245	398	1220
246	399	1216
247	400	1213
248	401	1210
249	402	1206
250	403	1203
251	404	1199
252	405	1195
253	406	1193
254	407	1190
255	408	1187
256	409	1183
257	412	1186
258	414	1185
259	415	1183
260	416	1180
261	417	1176
262	419	1174
263	420	1171
264	421	1168
265	422	1165
266	423	1162
267	424	1159
268	425	1156
269	426	1152
270	427	1149
271	428	1147
272	429	1144
273	430	1141
274	431	1138
275	432	1135
276	433	1132
277	434	1129
278	435	1126
279	437	1124
280	438	1122
281	439	1119
282	440	1116
283	441	1113
284	442	1110
285	443	1107
286	444	1105
287	446	1102
288	446	1099
289	448	1096
290	448	1093
291	449	1090
292	450	1087
293	451	1084
294	452	1080
295	453	1077
296	454	1074
297	454	1071
298	455	1068
299	457	1066
300	458	1065
301	459	1062
302	460	1059
303	461	1056
304	462	1053
305	463	1050
306	463	1047
307	464	1044
308	465	1041
309	466	1037
310	467	1035
311	468	1032
312	468	1029
313	469	1026
314	470	1023
315	471	1020
316	472	1017
317	473	1014
318	474	1011
319	474	1009
320	475	1006
321	476	1003
322	477	1001
323	478	998
324	479	995
325	480	992
326	481	990
327	481	987
328	482	984
329	483	981
330	484	979
331	485	976
332	486	973
333	487	971
334	488	968
335	488	966
336	489	963
337	490	960
338	491	958
339	492	955
340	493	953
341	494	950
342	494	947
343	495	945
344	496	942
345	497	940
346	498	937
347	499	934
348	499	932
349	500	929
350	501	927
351	502	924
352	503	922
353	503	919
354	504	917
355	505	914
356	506	912
357	507	909
358	508	907
359	509	904
360	509	902
361	510	900
362	511	897
363	512	895
364	513	892
365	514	890
366	514	888
367	515	885
368	516	883
369	517	881
370	518	879
371	519	876
372	520	874
373	521	872
374	521	869
375	522	867
376	523	865
377	524	863
378	525	860
379	526	858
380	526	855
381	527	853
382	528	851
383	529	849
384	530	846
385	530	844
386	531	842
387	532	840
388	533	838
389	534	835
390	535	833
391	536	831
392	536	829
393	537	827
394	538	825
395	539	823
396	540	821
397	541	818
398	542	816
399	543	814
400	543	812
401	544	810
402	545	808
403	546	806
404	547	803
405	548	801
406	548	799
407	549	797
408	550	795
409	551	793
410	552	791
411	553	789
412	553	787
413	554	785
414	555	783
415	556	781
416	557	779
417	558	777
418	559	775
419	559	773
420	560	771
421	561	769
422	562	767
423	563	765
424	564	763
425	564	761
426	565	759
427	566	757
428	567	755
429	568	753
430	569	751
431	569	749
432	570	747
433	571	745
434	572	743
435	573	741
436	574	739
437	574	737
438	575	735
439	576	733
440	577	731
441	578	729
442	579	728
443	580	726
444	581	724
445	582	723
446	582	721
447	583	719
448	584	717
449	585	715
450	586	713
451	587	711
452	588	710
453	588	708
454	589	706
455	590	704
456	591	702
457	592	700
458	593	699
459	593	697
460	594	695
461	595	693
462	596	691
463	597	690
464	598	688
465	599	686
466	600	685
467	601	683
468	602	681
469	603	679
470	603	678
471	604	676
472	605	674
473	606	672
474	607	671
475	608	669
476	609	667
477	609	666
478	610	664
479	611	662
480	612	660
481	613	659
482	614	657
483	615	655
484	615	653
485	616	652
486	617	650
487	618	648
488	619	647
489	620	645
490	620	643
491	621	642
492	622	640
493	623	638
494	624	636
495	625	635
496	626	633
497	626	631
498	627	630
499	628	628
500	629	626
501	630	625
502	631	623
503	631	621
504	632	620
505	633	618
506	634	616
507	635	615
508	636	613
509	636	611
510	637	610
511	638	608
512	639	607
513	640	605
514	641	603
515	642	602
516	643	600
517	644	599
518	644	597
519	645	596
520	646	594
521	647	592
522	648	591
523	649	589
524	650	588
525	650	586
526	651	584
527	652	583
528	653	581
529	654	580
530	655	578
531	656	577
532	656	575
533	657	574
534	658	572
535	659	570
536	660	569
537	661	567
538	662	566
539	662	564
540	663	563
541	664	561
542	665	560
543	666	558
544	667	556
545	667	555
546	668	553
547	669	552
548	670	550
549	671	549
550	672	547
551	672	546
552	673	544
553	674	543
554	675	541
555	676	540
556	677	538
557	678	537
558	679	535
559	679	534
560	680	532
561	681	531
562	682	529
563	683	528
564	683	526
565	684	525
566	685	523
567	686	522
568	687	520
569	688	519
570	689	517
571	689	516
572	690	514
573	691	513
574	692	512
575	693	510
576	694	509
577	695	507
578	696	506
579	696	504
580	697	503
581	698	501
582	699	500
583	700	498
584	701	497
585	701	495
586	702	494
587	703	492
588	704	491
589	705	490
590	706	488
591	707	487
592	708	486
593	709	484
594	709	483
595	710	481
596	711	480
597	712	479
598	713	477
599	714	476
600	715	474
601	715	473
602	716	471
603	717	470
604	718	469
605	719	467
606	720	466
607	721	464
608	721	463
609	722	462
610	723	460
611	724	459
612	725	457
613	726	456
614	727	455
615	728	453
616	729	452
617	730	451
618	730	449
619	731	448
620	732	447
621	733	445
622	734	444
623	735	442
624	735	441
625	736	440
626	737	438
627	738	437
628	739	436
629	740	434
630	740	433
631	741	431
632	742	430
633	743	429
634	744	427
635	745	426
636	745	425
637	746	423
638	747	422
639	748	420
640	749	419
641	749	418
642	750	416
643	751	415
644	752	414
645	753	412
646	754	411
647	755	410
648	755	408
649	756	407
650	757	406
651	758	404
652	759	403
653	760	402
654	760	400
655	761	399
656	762	398
657	763	396
658	764	395
659	765	394
660	765	392
661	766	391
662	767	390
663	768	388
664	769	387
665	770	386
666	771	384
667	771	383
668	772	382
669	773	381
670	774	379
671	775	378
672	776	377
673	777	375
674	778	374
675	778	373
676	779	371
677	780	370
678	781	369
